name,min_players,max_players,complexity
7 чудес,2,7,3
Алхимики,2,4,8
Битва боевых магов,2,4,5
Ваальбара,2,4,4
Взрывные котята,2,5,1
Войны Чёрной Розы: Возрождение,2,6,6
Голоса в голове,2,6,3
Дорога ярости,2,4,4
Дюна Империи,1,4,5
За Бортом,2,6,3
Замес Манчкин,2,6,2
Инновация,2,4,5
Каркассон,2,5,2
Коза Ностра,3,6,4
Космический контакт,4,8,3
Крагморта,2,5,4
Ктулху смерть может умереть,1,5,4
Марвел Злодеи,2,4,3
Мачи Коро 2,2,5,2
Море Соль Бумага,2,4,1
Неудержимые единорожки,2,8,2
Нечто,4,8,5
Опасные гости,2,5,3
Паника на Вулф-стрит,3,8,3
Повелитель Токио,2,6,2
Призрачные чернила,2,8,2
Проект Элита,1,6,5
Тако кот коза сыр пицца,2,8,1
Ужас Аркхэма 3 ред.,1,6,7
Ужас Аркхэма карточная игра,1,4,7
Цитадели,2,8,3
Шериф Нотингема,3,6,3
Энергосеть,2,6,7
Это бомба!,1,5,3
Arcs,2,4,8
Codenames,2,8,2
Dead Cells,2,4,5
Fuse,1,5,3
Long Shot,2,8,3
MTG Archenemy Planechase,3,6,8
Oathsworn,1,4,7
Similo Животные,2,8,1
Ticket to Ride,2,5,2
Vantage,2,5,3
Звёздные войны Imperial Assault,2,5,7
Sunderfolk,2,4,4
